2010,3.91
2011,5.19
2012,5.68
2013,5.45
2014,4.99
2015,4.72
2016,4.39
2017,4.45
2018,4.30
2019,4.14
2020,4.43
2021,4.71
2022,5.89
2023,6.16
2024,6.32
2025,7.82
